1.out: Intermolecular Energy :             -50.50923232 Kcal/mole
2.out: Intermolecular Energy :             -49.62850098 Kcal/mole
3.out: Intermolecular Energy :             -49.34832741 Kcal/mole
4.out: Intermolecular Energy :             -48.77629163 Kcal/mole
5.out: Intermolecular Energy :             -48.50143793 Kcal/mole
6.out: Intermolecular Energy :             -48.26715608 Kcal/mole
7.out: Intermolecular Energy :             -46.70158535 Kcal/mole
8.out: Intermolecular Energy :             -46.68093442 Kcal/mole
